Title,Description,Type,Language,Category,Difficulty,Options,CorrectAnswer
"HTML5 Semantic Elements","Which of these is a semantic HTML5 element?",multipleChoice,html,,easy,"<div>|<header>|<span>|<bold>","1"
"HTML Document Structure","Which element should contain all visible content of an HTML page?",multipleChoice,html,,easy,"<html>|<head>|<body>|<main>","2"
"HTML Input Types","Which input type is used for email addresses?",multipleChoice,html,,easy,"text|email|mail|address","1"
"HTML Attributes","Which attribute specifies an alternate text for an image?",multipleChoice,html,,easy,"title|alt|description|text","1"
"HTML Lists","Which element is used for an ordered list?",multipleChoice,html,,easy,"<ul>|<ol>|<list>|<order>","1"
"HTML Tables","Which element represents a table header cell?",multipleChoice,html,,easy,"<td>|<th>|<header>|<thead>","1"
"HTML Links","Which attribute in an <a> tag specifies the URL?",multipleChoice,html,,easy,"src|href|link|url","1"
"HTML Meta Tags","Which meta tag sets the character encoding?",multipleChoice,html,,medium,"<meta charset="UTF-8">|<meta encoding="UTF-8">|<meta type="UTF-8">|<meta lang="UTF-8">","0"
"HTML5 Article Element","What is the <article> element used for?",multipleChoice,html,,medium,"Navigation links|Independent, self-contained content|Page footer|Side content","1"
"HTML Form Methods","Which HTTP method is default for HTML forms?",multipleChoice,html,,medium,"POST|GET|PUT|DELETE","1"
"HTML5 Video Element","Which attribute makes a video start playing automatically?",multipleChoice,html,,medium,"autostart|autoplay|auto|play","1"
"HTML Void Elements","Which of these is a void element (self-closing)?",multipleChoice,html,,medium,"<div>|<p>|<br>|<span>","2"
"HTML Accessibility","Which attribute provides accessible labels for form elements?",multipleChoice,html,,medium,"title|label|for|aria-label","3"
"HTML5 Canvas","What is the <canvas> element used for?",multipleChoice,html,,medium,"Displaying images|Drawing graphics with JavaScript|Creating animations|All of the above","3"
"HTML Doctype","What is the correct HTML5 doctype declaration?",multipleChoice,html,,easy,"<!DOCTYPE html>|<!DOCTYPE HTML5>|<DOCTYPE html>|<!DOC html>","0"
"HTML5 Storage","Which HTML5 feature allows offline data storage?",multipleChoice,html,,medium,"cookies|localStorage|sessionStorage|all of the above","3"
"HTML Form Validation","Which attribute adds client-side validation to form inputs?",multipleChoice,html,,easy,"validate|required|check|verify","1"
"HTML Media Queries","Where are CSS media queries typically defined in HTML?",multipleChoice,html,,medium,"<body>|<head>|<meta>|<style>","3"
"HTML Microdata","What is the purpose of microdata in HTML5?",multipleChoice,html,,hard,"Styling elements|Adding structured data|Creating animations|Form validation","1"
"HTML Shadow DOM","What does Shadow DOM provide in HTML?",multipleChoice,html,,hard,"Better performance|Encapsulated styling|Faster loading|Mobile optimization","1"
"HTML Web Components","Which JavaScript API is used to define custom elements?",multipleChoice,html,,hard,"document.createElement()|customElements.define()|element.register()|HTML.define()","1"
"HTML Viewport Meta","What does the viewport meta tag control?",multipleChoice,html,,medium,"Page title|Page layout on mobile|Page loading speed|Page security","1"
"HTML ARIA Roles","What do ARIA roles provide?",multipleChoice,html,,medium,"Visual styling|Accessibility information|Performance optimization|Mobile responsiveness","1"
"HTML5 Geolocation","How is geolocation accessed in HTML5?",multipleChoice,html,,medium,"<geo> element|navigator.geolocation|<location> tag|GPS attribute","1"
"HTML Critical Rendering Path","Which elements block page rendering by default?",multipleChoice,html,,hard,"<img>|<script>|<div>|<p>","1"
"HTML Case Sensitivity","HTML tags are case-sensitive.",trueFalse,html,,easy,"true|false","1"
"HTML Form Validation","The 'required' attribute provides client-side form validation in HTML5.",trueFalse,html,,easy,"true|false","0"
"HTML Nesting Rules","Block-level elements can contain inline elements.",trueFalse,html,,medium,"true|false","0"
"HTML Comments","HTML comments are visible to users in the browser.",trueFalse,html,,easy,"true|false","1"
"HTML5 New Elements","HTML5 introduced new semantic elements like <section> and <article>.",trueFalse,html,,easy,"true|false","0"
"HTML Attribute Quotes","Attribute values in HTML must always be enclosed in quotes.",trueFalse,html,,medium,"true|false","1"
"HTML Image Loading","Images with missing 'src' attributes will show broken image icons.",trueFalse,html,,easy,"true|false","0"
"HTML Form Action","A form without an 'action' attribute submits to the current page.",trueFalse,html,,medium,"true|false","0"
"HTML Element IDs","Multiple elements can have the same ID attribute value.",trueFalse,html,,medium,"true|false","1"
"HTML Whitespace","Multiple consecutive spaces in HTML are collapsed into a single space.",trueFalse,html,,medium,"true|false","0"
"HTML5 Audio Support","All browsers support the same audio formats in HTML5.",trueFalse,html,,medium,"true|false","1"
"HTML Table Accessibility","The <caption> element improves table accessibility.",trueFalse,html,,medium,"true|false","0"
"HTML Script Tag","Scripts in the <head> block page rendering until they load.",trueFalse,html,,medium,"true|false","0"
"HTML5 Validation","HTML5 provides built-in form validation without JavaScript.",trueFalse,html,,easy,"true|false","0"
"HTML Meta Viewport","The viewport meta tag is required for responsive web design.",trueFalse,html,,medium,"true|false","0"
"HTML5 Semantic Meaning","Semantic HTML elements have built-in styling by default.",trueFalse,html,,medium,"true|false","1"
"HTML Document Loading","The DOM is built incrementally as HTML is parsed.",trueFalse,html,,hard,"true|false","0"
"HTML5 Offline Storage","localStorage persists after the browser is closed.",trueFalse,html,,medium,"true|false","0"
"HTML Accessibility","Screen readers can understand the structure of semantic HTML better than div-based layouts.",trueFalse,html,,medium,"true|false","0"
"HTML Performance","The position of <script> tags affects page loading performance.",trueFalse,html,,medium,"true|false","0"
